"probeset","gene","EntrezGene.ID","best_probe"
"201078_at","TM9SF2","9375",TRUE
"201079_at","SYNGR2","9144",TRUE
"201080_at","PIP4K2B","8396",FALSE
"201081_s_at","PIP4K2B","8396",TRUE
"201082_s_at","DCTN1","1639",FALSE
"201083_s_at","BCLAF1","9774",FALSE
"201084_s_at","BCLAF1","9774",FALSE
"201085_s_at","SON","6651",TRUE
"201086_x_at","SON","6651",FALSE
"201087_at","PXN","5829",FALSE
"201088_at","KPNA2","3838",TRUE
"201089_at","ATP6V1B2","526",TRUE
"201090_x_at","TUBA1B","10376",TRUE
"201091_s_at","CBX3","11335",TRUE
"201092_at","RBBP7","5931",TRUE
"201093_x_at","SDHA","6389",TRUE
"201094_at","RPS29","6235",TRUE
"201095_at","DAP","1611",TRUE
"201096_s_at","ARF4","378",TRUE
"201097_s_at","ARF4","378",FALSE
"201098_at","COPB2","9276",TRUE
"201099_at","USP9X","8239",FALSE
"201100_s_at","USP9X","8239",TRUE
"201101_s_at","BCLAF1","9774",TRUE
"201102_s_at","PFKL","5211",TRUE
"201103_x_at","NBPF10 /// NBPF11 /// NBPF12 /// NBPF15 /// NBPF16 /// NBPF24 /// NBPF8 /// NBPF9","100132406 /// 200030 /// 284565 /// 400818 /// 440675 /// 728841 /// 728912 /// 728936",FALSE
"201104_x_at","NBPF1 /// NBPF10 /// NBPF11 /// NBPF12 /// NBPF14 /// NBPF15 /// NBPF16 /// NBPF24 /// NBPF8","100132406 /// 200030 /// 25832 /// 284565 /// 440675 /// 55672 /// 728841 /// 728912 /// 728936",FALSE
"201105_at","LGALS1","3956",TRUE
"201106_at","GPX4","2879",TRUE
"201107_s_at","THBS1","7057",TRUE
"201108_s_at","THBS1","7057",FALSE
"201109_s_at","THBS1","7057",FALSE
"201110_s_at","THBS1","7057",FALSE
"201111_at","CSE1L","1434",FALSE
"201112_s_at","CSE1L","1434",FALSE
"201113_at","TUFM","7284",TRUE
"201114_x_at","PSMA7","5688",TRUE
"201115_at","POLD2","5425",TRUE
"201116_s_at","CPE","1363",FALSE
"201117_s_at","CPE","1363",TRUE
"201118_at","PGD","5226",TRUE
"201119_s_at","COX8A","1351",TRUE
"201120_s_at","PGRMC1","10857",TRUE
"201121_s_at","PGRMC1","10857",FALSE
